BEL-ID	BEL original	Sentence	Sentence ID	PMID
BEL:20000002	a(CHEBI:heparin) increases complex(p(MGI:Serpind1),p(MGI:F2))	Heparin cofactor II (HCII) is a highly specific serine proteinase inhibitor, which complexes covalently with thrombin in a reaction catalyzed by heparin and other polyanions.	SEN:10000002	2760054
BEL:20000004	cat(p(MGI:Galc)) decreases a(CHEBI:psychosine)	Progressive accumulation of a cytotoxic metabolite, galactosylsphingosine (psychosine), was found in the brain of the twitcher mouse, a mutant caused by genetic deficiency of galactosylceramidase. 	SEN:10000004	6719111
BEL:20000006	a(CHEBI:dexamethasone) increases tscript(p(MGI:Cebpb))	Induction of C/EBP beta DNA-binding activity in NIH-3T3 beta 2 cells exposed to dexamethasone in the presence of insulin and fetal bovine serum activates the expression of an adipocyte-specific nuclear hormone receptor, PPAR gamma, that stimulates the conversion of these fibroblasts into committed preadipocytes.	SEN:10000006	7557387
BEL:20000008	a(CHEBI:"N-ethyl-N-nitrosourea") increases p(MGI:Rhob)	In addition to UV, N-methyl-N-nitrosourea and the cytostatic drug cisplatin evoked rhoB response.	SEN:10000008	7559652
BEL:20000010	tscript(p(MGI:Cebpb))-> p(MGI:Pparg)	Induction of C/EBP beta DNA-binding activity in NIH-3T3 beta 2 cells exposed to dexamethasone in the presence of insulin and fetal bovine serum activates the expression of an adipocyte-specific nuclear hormone receptor, PPAR gamma, that stimulates the conversion of these fibroblasts into committed preadipocytes.	SEN:10000006	7557387
BEL:20000012	a(CHEBI:cisplatin) increases p(MGI:Rhob)	In addition to UV, N-methyl-N-nitrosourea and the cytostatic drug cisplatin evoked rhoB response.	SEN:10000008	7559652
BEL:20000014	a(CHEBI:glucocorticoid) decreases p(MGI:Pomc)	Pulse-chase biosynthetic labeling studies showed that AtT-20 cells expressed much less RESP18 than the endogenous prohormone, POMC, but that glucocorticoid treatment lowered POMC and raised RESP18 biosynthetic rates so that they were nearly equimolar.	SEN:10000010	7988462
BEL:20000016	a(CHEBI:glucocorticoid) increases p(MGI:Resp18)	Pulse-chase biosynthetic labeling studies showed that AtT-20 cells expressed much less RESP18 than the endogenous prohormone, POMC, but that glucocorticoid treatment lowered POMC and raised RESP18 biosynthetic rates so that they were nearly equimolar.	SEN:10000010	7988462
BEL:20000018	gtp(p(MGI:Rac1)) increases a(CHEBI:"reactive oxygen species")	in NIH 3T3 cells transient expression of constitutively activated forms of the small GTP-binding proteins Ras or Rac1 leads to a significant increase in intracellular ROS	SEN:10000012	8809022
BEL:20000020	gtp(p(MGI:Hras)) increases a(CHEBI:"reactive oxygen species")	in NIH 3T3 cells transient expression of constitutively activated forms of the small GTP-binding proteins Ras or Rac1 leads to a significant increase in intracellular ROS	SEN:10000012	8809022
BEL:20000022	p(MGI:Egf) increases a(CHEBI:"reactive oxygen species")	An increase in intracellular ROS is also demonstrated after growth factor [platelet-derived growth factor (PDGF) or epidermal growth factor (EGF)] or cytokine [tumour necrosis factor-alpha (TNF-alpha) or interleukin (IL)-1 beta] stimulation of NIH 3T3 cells.	SEN:10000014	8809022
BEL:20000024	p(MGI:Il1b) increases a(CHEBI:"reactive oxygen species")	n increase in intracellular ROS is also demonstrated after growth factor [platelet-derived growth factor (PDGF) or epidermal growth factor (EGF)] or cytokine [tumour necrosis factor-alpha (TNF-alpha) or interleukin (IL)-1 beta] stimulation of NIH 3T3 cells.	SEN:10000016	8809022
BEL:20000026	p(MGI:Tnf) increases a(CHEBI:"reactive oxygen species")	n increase in intracellular ROS is also demonstrated after growth factor [platelet-derived growth factor (PDGF) or epidermal growth factor (EGF)] or cytokine [tumour necrosis factor-alpha (TNF-alpha) or interleukin (IL)-1 beta] stimulation of NIH 3T3 cells.	SEN:10000016	8809022
BEL:20000028	a(CHEBI:glucocorticoid) decreases p(MGI:Tnxb)	We have identified glucocorticoids as physiological inhibitors of tenascin-X and suggest that glucocorticoids may in part participate in the downregulation of tenascin-X in fibroblasts in vivo.	SEN:10000018	8856503
BEL:20000030	a(CHEBI:lipopolysaccharide) increases p(MGI:Il1rn)	interleukin 1 receptor antagonist (IL-1ra) is induced in mouse liver after lipopolysaccharide (LPS) or recombinant interleukin 1.	SEN:10000020	9112333
BEL:20000032	a(CHEBI:mifepristone) decreases tscript(p(MGI:Pgr))	Treatment with RU486, a progesterone receptor antagonist, blocked progesterone-induced galectin-1 mRNA level in uterine tissues of ovariectomized mouse.	SEN:10000022	9291476
BEL:20000034	kin(p(MGI:Fyn)) increases bp(GOBP:"cell adhesion")	Consistent with an involvement of this kinase, fyn-deficient keratinocytes have strongly decreased tyrosine phosphorylation levels of beta- and gamma-catenins and p120-Cas, and structural and functional abnormalities in cell adhesion similar to those caused by tyrosine kinase inhibitors.	SEN:10000024	9628900
BEL:20000036	kin(p(MGI:Fyn)) increases p(MGI:Ctnnb1,pmod(P,Y))	Consistent with an involvement of this kinase, fyn-deficient keratinocytes have strongly decreased tyrosine phosphorylation levels of beta- and gamma-catenins and p120-Cas, and structural and functional abnormalities in cell adhesion similar to those caused by tyrosine kinase inhibitors.	SEN:10000024	9628900
BEL:20000038	kin(p(MGI:Fyn)) increases p(MGI:Ctnnd1,pmod(P,Y))	Consistent with an involvement of this kinase, fyn-deficient keratinocytes have strongly decreased tyrosine phosphorylation levels of beta- and gamma-catenins and p120-Cas, and structural and functional abnormalities in cell adhesion similar to those caused by tyrosine kinase inhibitors.	SEN:10000024	9628900
BEL:20000040	kin(p(MGI:Fyn)) increases p(MGI:Jup,pmod(P,Y))	Consistent with an involvement of this kinase, fyn-deficient keratinocytes have strongly decreased tyrosine phosphorylation levels of beta- and gamma-catenins and p120-Cas, and structural and functional abnormalities in cell adhesion similar to those caused by tyrosine kinase inhibitors.	SEN:10000024	9628900
BEL:20000042	cat(p(HGNC:CASP3)) directlyIncreases kin(p(HGNC:PAK2))	P21-activated protein kinase gamma-PAK (Pak2, PAK I) is cleaved by CPP32 (caspase 3) during apoptosis and plays a key role in regulation of cell death. 	SEN:10000026	9786869
BEL:20000044	cat(p(MGI:Sod2)) decreases a(CHEBI:"reactive oxygen species")	These results indicate that the increase in mitochondrial reactive oxygen species from knockout of SOD2 activity can result in biochemical aberrations with features reminiscent of mitochondrial myopathy	SEN:10000028	9927656
