BEL-ID	BEL original	Sentence	Sentence ID	PMID
BEL:20045974	p(HGNC:UMOD) decreases bp(GOBP:"T cell proliferation")	THP derived from human pregnancy urine (designated uromodulin) has previously been shown to be 13-fold more effective as an inhibitor of antigen-induced T cell proliferation than THP obtained from other sources	SEN:10007748	10770931
BEL:200499321	p(MGI:Ctnnb1) increases path(MESHD:"Pulmonary Fibrosis")	Blockade of the Wnt/beta-catenin pathway by beta-catenin siRNA decreased bleomycin-induced pulmonary fibrosis in the murine model.	SEN:10008444	21212602
BEL:200499322	a(CHEBI:bleomycin) increases path(MESHD:"Pulmonary Fibrosis")	Blockade of the Wnt/beta-catenin pathway by beta-catenin siRNA decreased bleomycin-induced pulmonary fibrosis in the murine model.	SEN:10008444	21212602
BEL:20031146	p(MGI:Dnmt1) decreases r(MGI:Reln)	The reduced Dnmt1 mRNA and protein were accompanied by increased reelin mRNA expression. 	SEN:10004711	15671176
BEL:200316781	p(MGI:Hsd11b1) increases path(MESHD:Obesity)	Autocrine production of cortisol by adipocytes of mice overexpressing 11beta-hydroxysteroid dehydrogenase type 1 (11beta-HSD 1) in adipose tissue increases visceral adiposity, whereas knockout of 11beta-HSD 1 appears to attenuate truncal obesity.	SEN:10004870	15897475
BEL:200316782	a(CHEBI:cortisol) increases path(MESHD:Obesity)	Autocrine production of cortisol by adipocytes of mice overexpressing 11beta-hydroxysteroid dehydrogenase type 1 (11beta-HSD 1) in adipose tissue increases visceral adiposity, whereas knockout of 11beta-HSD 1 appears to attenuate truncal obesity.	SEN:10004870	15897475
BEL:200316783	p(MGI:Hsd11b1) increases a(CHEBI:cortisol)	Autocrine production of cortisol by adipocytes of mice overexpressing 11beta-hydroxysteroid dehydrogenase type 1 (11beta-HSD 1) in adipose tissue increases visceral adiposity, whereas knockout of 11beta-HSD 1 appears to attenuate truncal obesity.	SEN:10004870	15897475
BEL:20029292	p(HGNC:ACACB) decreases bp(GOBP:"fatty acid oxidation")	Acc2-/- mutant mice have a normal life span, a higher fatty acid oxidation rate, and lower amounts of fat.	SEN:10004238	11283375
BEL:200685641	p(MGI:Hsf1) increases r(MGI:Hsp90aa1)	Alcohol and heat stimulate the translocation of HSF1 from the cytoplasm to the nucleus and the induction of HSF1-dependent genes, Hsp70 and Hsp90, in cultured neurons and in the mouse cerebral cortex in vivo.	SEN:10003274	18032669
BEL:200685661	p(MGI:Hsf1) increases r(MGI:Hspa1a)	Alcohol and heat stimulate the translocation of HSF1 from the cytoplasm to the nucleus and the induction of HSF1-dependent genes, Hsp70 and Hsp90, in cultured neurons and in the mouse cerebral cortex in vivo.	SEN:10003274	18032669
BEL:200685642	a(CHEBI:alcohol) increases r(MGI:Hsp90aa1)	Alcohol and heat stimulate the translocation of HSF1 from the cytoplasm to the nucleus and the induction of HSF1-dependent genes, Hsp70 and Hsp90, in cultured neurons and in the mouse cerebral cortex in vivo.	SEN:10003274	18032669
BEL:200685643	a(CHEBI:alcohol)  increases tloc(p(MGI:Hsf1))	Alcohol and heat stimulate the translocation of HSF1 from the cytoplasm to the nucleus and the induction of HSF1-dependent genes, Hsp70 and Hsp90, in cultured neurons and in the mouse cerebral cortex in vivo.	SEN:10003274	18032669
BEL:200685662	a(CHEBI:alcohol)  increases r(MGI:Hspa1a)	Alcohol and heat stimulate the translocation of HSF1 from the cytoplasm to the nucleus and the induction of HSF1-dependent genes, Hsp70 and Hsp90, in cultured neurons and in the mouse cerebral cortex in vivo.	SEN:10003274	18032669
BEL:200534741	p(MGI:Ide) increases deg(p(MGI:App))	IDE deficiency resulted in a >50% decrease in Abeta degradation in both brain membrane fractions and primary neuronal cultures and a similar deficit in insulin degradation in liver	SEN:10027596	12634421
BEL:200534742	p(MGI:Ide) increases deg(p(MGI:Ins2))	IDE deficiency resulted in a >50% decrease in Abeta degradation in both brain membrane fractions and primary neuronal cultures and a similar deficit in insulin degradation in liver	SEN:10027596	12634421
BEL:20060574	p(MGI:S100a13) increases sec(p(MGI:Il1a))	In addition, the expression of a S100A13 mutant lacking a sequence novel to this gene product functions as a dominant-negative repressor of IL-1alpha release	SEN:10010034	12746488
BEL:20029174	complex(p(HGNC:ADAM23), p(HGNC:ITGAV), p(HGNC:ITGB3)) increases bp(GOBP:"cell adhesion")	ADAM 23/MDC3, a human disintegrin that promotes cell adhesion via interaction with the alphavbeta3 integrin through an RGD-independent mechanism.	SEN:10004206	10749942
BEL:200418661	p(HGNC:FGF2) increases r(HGNC:KLF5)	BTEB2 mRNA expression is rapidly and persistently induced in SMCs by phorbol 12-myristate 13-acetate (PMA) and basic fibroblast growth factor.	SEN:10006928	10532946
BEL:200418662	a(CHEBI:"phorbol 13-acetate 12-myristate") increases r(HGNC:KLF5)	BTEB2 mRNA expression is rapidly and persistently induced in SMCs by phorbol 12-myristate 13-acetate (PMA) and basic fibroblast growth factor.	SEN:10006928	10532946
BEL:200293321	act(p(HGNC:AR)) increases bp(GOBP:"cell proliferation")	Furthermore, inhibition of the AR by tolrestat and sorbinil diminished DNA synthesis and cell proliferation	SEN:10004256	11306081
BEL:200293322	act(p(HGNC:AR)) increases bp(GOBP:"DNA replication")	Furthermore, inhibition of the AR by tolrestat and sorbinil diminished DNA synthesis and cell proliferation	SEN:10004256	11306081
BEL:200293323	a(CHEBI:sorbinil) decreases act(p(HGNC:AR))	Furthermore, inhibition of the AR by tolrestat and sorbinil diminished DNA synthesis and cell proliferation	SEN:10004256	11306081
BEL:200293324	a(CHEBI:sorbinil) decreases bp(GOBP:"DNA replication")	Furthermore, inhibition of the AR by tolrestat and sorbinil diminished DNA synthesis and cell proliferation	SEN:10004256	11306081
BEL:200293325	a(CHEBI:sorbinil) decreases bp(GOBP:"cell proliferation")	Furthermore, inhibition of the AR by tolrestat and sorbinil diminished DNA synthesis and cell proliferation	SEN:10004256	11306081
BEL:20033626	complex(p(HGNC:CCNA1),p(HGNC:CDK2)) increases complex(p(HGNC:CCNA1),p(HGNC:E2F1))	The in vitro interaction of cyclin A1 with E2F-1 was greatly enhanced when cyclin A1 was complexed with CDK2	SEN:10005276	10022926
BEL:20061100	p(MGI:Sirt5) decreases a(CHEBI:ammonia)	Indeed, SIRT5 KO mice fail to upregulate CPS1 activity and show elevated blood ammonia during fasting.	SEN:10016080	19410549
BEL:20030980	p(MGI:Sirt5) increases act(p(MGI:Cps1))	Indeed, SIRT5 KO mice fail to upregulate CPS1 activity and show elevated blood ammonia during fasting.	SEN:10016080	19410549
BEL:20031840	p(MGI:Ins1) increases tloc(p(MGI:Trip10))	Overexpression of constitutively active TC10 brings CIP4/2 to the plasma membrane, whereas overexpression of an inhibitory form of TC10 blocks the translocation of CIP4/2 produced by insulin. 	SEN:10004900	12242347
BEL:200332601	act(p(MGI:Rhoq)) increases (p(MGI:Ins1) increases tloc(p(MGI:Trip10)))	Overexpression of constitutively active TC10 brings CIP4/2 to the plasma membrane, whereas overexpression of an inhibitory form of TC10 blocks the translocation of CIP4/2 produced by insulin. 	SEN:10004900	12242347
