BEL-ID	BEL original	Sentence	Sentence ID	PMID
BEL:20000010	tscript(p(MGI:Cebpb)) increases p(MGI:Pparg)	Induction of C/EBP beta DNA-binding activity in NIH-3T3 beta 2 cells exposed to dexamethasone in the presence of insulin and fetal bovine serum activates the expression of an adipocyte-specific nuclear hormone receptor, PPAR gamma, that stimulates the conversion of these fibroblasts into committed preadipocytes	SEN:10000006	7557387
BEL:20000014	a(CHEBI:glucocorticoid) decreases p(MGI:Pomc)	Pulse-chase biosynthetic labeling studies showed that AtT-20 cells expressed much less RESP18 than the endogenous prohormone, POMC, but that glucocorticoid treatment lowered POMC and raised RESP18 biosynthetic rates so that they were nearly equimolar.	SEN:10000010	7988462
BEL:20000016	a(CHEBI:glucocorticoid) increases p(MGI:Resp18)	Pulse-chase biosynthetic labeling studies showed that AtT-20 cells expressed much less RESP18 than the endogenous prohormone, POMC, but that glucocorticoid treatment lowered POMC and raised RESP18 biosynthetic rates so that they were nearly equimolar.	SEN:10000010	7988462
BEL:20000030	a(CHEBI:lipopolysaccharide) increases p(MGI:Il1rn)	interleukin 1 receptor antagonist (IL-1ra) is induced in mouse liver after lipopolysaccharide (LPS) or recombinant interleukin 1.	SEN:10000020	9112333
BEL:20000042	cat(p(HGNC:CASP3)) directlyIncreases kin(p(HGNC:PAK2))	P21-activated protein kinase gamma-PAK (Pak2, PAK I) is cleaved by CPP32 (caspase 3) during apoptosis and plays a key role in regulation of cell death. 	SEN:10000026	9786869
BEL:20000068	cat(p(HGNC:AGTR1)) increases p(HGNC:OLR1)	Importantly, the increase in LOX-1 mRNA expression in response to Ang II was completely blocked by losartan, a specific AT1 blocker, but not by PD123319, a specific AT2 blocker (n56, Figure 5). 	SEN:10000044	10325241
BEL:20000070	cat(p(HGNC:F2R)) increases p(HGNC:IL6)	Thrombin receptor mediated signal transduction could induce the expressions of IL6 and G-CSF, and increase inflammatory events in the cavum articulare via NF-kappa B activation 	SEN:10000046	10343541
BEL:20000072	cat(p(HGNC:F2R)) increases p(HGNC:CSF3)	Thrombin receptor mediated signal transduction could induce the expressions of IL6 and G-CSF, and increase inflammatory events in the cavum articulare via NF-kappa B activation 	SEN:10000046	10343541
BEL:20000074	a(CHEBI:lipopolysaccharide) increases p(MGI:Nos2)	"A basal expression of NOS II mRNA and protein was detected in skeletal muscle from untreated wild-type mice; expression increased when mice were treated with bacterial lipopolysaccharide (LPS)."	SEN:10000048	10359657
BEL:20000080	cat(p(HGNC:IL6R)) increases tscript(p(HGNC:STAT3))	Signaling by the IL-6 receptor is mediated through the signal transducing subunit gp130 and involves the activation of Janus-associated kinases (JAKs), signal transducer and activator of transcription 3 (STAT3), and mitogen-activated protein (MAP) kinase. 	SEN:10000052	10409724
BEL:20000096	complex(p(HGNC:PDGFA),p(HGNC:PDGFB)) increases bp(GOBP:mitosis)	The finding that PDGF-AB gives stronger mitogenic and chemotactic effects on cells expressing both alpha - and beta -receptors (179, 401) suggests that the heterodimeric alpha beta -receptor complex may have unique properties.	SEN:10000060	10508235
BEL:20000108	cat(p(HGNC:CASP3)) directlyIncreases cat(p(HGNC:GAS2))	Treatment with increasing amounts of caspase-3 for 30 minutes at 37�C specifically cleaved Gas2, thus producing a band showing similar electrophoretic mobility (����31 kDa) with respect to Gas2 as detected in extracts of apoptotic cells.	SEN:10000068	10564664
BEL:20000110	cat(p(HGNC:CASP3)) directlyIncreases cat(p(HGNC:GAS2))	In summary we can conclude that Gas2 is a direct substrate of caspase-3 and that the aspartic residue 279 is critical both for its in vitro and in vivo proteolytic processing.	SEN:10000070	10564664
